setup,indicator,nobj,problem,nvar,value
fronts,hv,3,WFG9,30,1274.65397931562
fronts,hv,3,WFG9,40,1262.71628088676
fronts,hv,3,WFG9,50,1244.85051023691
fronts,hv,5,DTLZ2,30,1222980.745741776
fronts,hv,5,DTLZ2,40,1222980.745711838
fronts,hv,5,DTLZ2,50,1222980.739217737
fronts,hv,5,DTLZ4,30,1222980.73545515
fronts,hv,5,DTLZ4,40,1222980.718504315
fronts,hv,5,DTLZ4,50,1222980.7181020959
fronts,hv,5,DTLZ5,30,1219545.907626455
fronts,hv,5,DTLZ5,40,1219585.698302144
fronts,hv,5,DTLZ5,50,1219588.0380805829
fronts,hv,5,DTLZ6,30,1219378.593465678
fronts,hv,5,DTLZ6,40,1217909.064028999
fronts,hv,5,DTLZ6,50,1216713.228781641
fronts,hv,5,DTLZ7,30,963673.5755414364
fronts,hv,5,DTLZ7,40,963516.1659474457
fronts,hv,5,DTLZ7,50,964238.6384859077
fronts,hv,5,WFG1,30,1222914.6979938708
fronts,hv,5,WFG1,40,1219186.530010135
fronts,hv,5,WFG1,50,1193087.958149839
fronts,hv,5,WFG2,30,1219867.819183724
fronts,hv,5,WFG2,40,1220282.135065601
fronts,hv,5,WFG2,50,1215574.887717128
fronts,hv,5,WFG3,30,1131129.615402176
fronts,hv,5,WFG3,40,1130433.7087919621
fronts,hv,5,WFG3,50,1129104.438426159
fronts,hv,5,WFG4,30,1221975.509622166
fronts,hv,5,WFG4,40,1221954.901090411
fronts,hv,5,WFG4,50,1221906.908795496
fronts,hv,5,WFG5,30,1204073.390832677
fronts,hv,5,WFG5,40,1203949.697980622
fronts,hv,5,WFG5,50,1204047.405315532
fronts,hv,5,WFG6,30,1211163.639323469
fronts,hv,5,WFG6,40,1214330.977735187
fronts,hv,5,WFG6,50,1214899.998002164
fronts,hv,5,WFG7,30,1221879.934972706
fronts,hv,5,WFG7,40,1221874.823652168
fronts,hv,5,WFG7,50,1221852.694527613
fronts,hv,5,WFG8,30,1218050.543104167
fronts,hv,5,WFG8,40,1218816.01702226
fronts,hv,5,WFG8,50,1217380.2049294391
fronts,hv,5,WFG9,30,1218519.224002635
fronts,hv,5,WFG9,40,1212830.659887057
fronts,hv,5,WFG9,50,1192746.888527401
fronts,hv,10,DTLZ2,31,247358574956706.6
fronts,hv,10,DTLZ2,41,247358568794284.4
fronts,hv,10,DTLZ2,51,247358566249825.8
fronts,hv,10,DTLZ4,31,247358639510558.2
fronts,hv,10,DTLZ4,41,247358624199701.7
fronts,hv,10,DTLZ4,51,247358620561349.7
fronts,hv,10,DTLZ5,31,472107718579767.5
fronts,hv,10,DTLZ5,41,575415640156786.2
fronts,hv,10,DTLZ5,51,671321814588905.5
fronts,hv,10,DTLZ6,31,247144338992575.8
fronts,hv,10,DTLZ6,41,247144330545398.1
fronts,hv,10,DTLZ6,51,247143725764432.7
fronts,hv,10,DTLZ7,31,200064604740916.8
fronts,hv,10,DTLZ7,41,199882639417026.7
fronts,hv,10,DTLZ7,51,197752817808071.8
fronts,hv,10,WFG1,31,237758844846061.8
fronts,hv,10,WFG1,41,219412622153948.7
fronts,hv,10,WFG1,51,209245024105311.7
fronts,hv,10,WFG2,31,246907321358282.2
fronts,hv,10,WFG2,41,245960855357033.1
fronts,hv,10,WFG2,51,243610534642084.7
fronts,hv,10,WFG3,31,224387477374269.9
fronts,hv,10,WFG3,41,223634353639174.7
fronts,hv,10,WFG3,51,223047143543671.2
fronts,hv,10,WFG4,31,247265500596989.8
fronts,hv,10,WFG4,41,247201209077064.1
fronts,hv,10,WFG4,51,247029670581856.1
fronts,hv,10,WFG5,31,243069851643241.9
fronts,hv,10,WFG5,41,242994335940782.2
fronts,hv,10,WFG5,51,242963660568456.8
fronts,hv,10,WFG6,31,244711579472342.5
fronts,hv,10,WFG6,41,245118656679842.8
fronts,hv,10,WFG6,51,245276419410963.3
fronts,hv,10,WFG7,31,247294048186373.9
fronts,hv,10,WFG7,41,247246696492477.4
fronts,hv,10,WFG7,51,247188952642937.9
fronts,hv,10,WFG8,31,247045166916482.5
fronts,hv,10,WFG8,41,246939123271967.1
fronts,hv,10,WFG8,51,246809253085284.6
fronts,hv,10,WFG9,31,245430780681552.4
fronts,hv,10,WFG9,41,244580381822030.9
fronts,hv,10,WFG9,51,245074870323256.8
reimprove-fronts,hv,2,DTLZ2,30,120.21454732026291
reimprove-fronts,hv,2,DTLZ2,40,120.21453715731421
reimprove-fronts,hv,2,DTLZ2,50,120.21452682559429
reimprove-fronts,hv,2,DTLZ4,30,120.21454403620491
reimprove-fronts,hv,2,DTLZ4,40,120.21452931736731
reimprove-fronts,hv,2,DTLZ4,50,120.21452069305849
reimprove-fronts,hv,2,DTLZ5,30,120.21454732026291
reimprove-fronts,hv,2,DTLZ5,40,120.21453715731421
reimprove-fronts,hv,2,DTLZ5,50,120.21452682559429
reimprove-fronts,hv,2,DTLZ6,30,120.2145564702237
reimprove-fronts,hv,2,DTLZ6,40,120.2145451600719
reimprove-fronts,hv,2,DTLZ6,50,120.2145247320939
reimprove-fronts,hv,2,DTLZ7,30,94.65879324324892
reimprove-fronts,hv,2,DTLZ7,40,94.65878560448185
reimprove-fronts,hv,2,DTLZ7,50,94.65877615922554
reimprove-fronts,hv,2,WFG1,30,118.1034284852455
reimprove-fronts,hv,2,WFG1,40,118.0823722835489
reimprove-fronts,hv,2,WFG1,50,118.02260838877501
reimprove-fronts,hv,2,WFG2,30,117.46820344173081
reimprove-fronts,hv,2,WFG2,40,117.45624172426001
reimprove-fronts,hv,2,WFG2,50,117.421752707861
reimprove-fronts,hv,2,WFG3,30,116.99754452005301
reimprove-fronts,hv,2,WFG3,40,116.9958013213043
reimprove-fronts,hv,2,WFG3,50,116.9925238480299
reimprove-fronts,hv,2,WFG4,30,114.67827554660441
reimprove-fronts,hv,2,WFG4,40,114.6576104051543
reimprove-fronts,hv,2,WFG4,50,114.63061604378531
reimprove-fronts,hv,2,WFG5,30,113.954597100867
reimprove-fronts,hv,2,WFG5,40,113.34285696414301
reimprove-fronts,hv,2,WFG5,50,112.997787066192
reimprove-fronts,hv,2,WFG6,30,114.4268969086281
reimprove-fronts,hv,2,WFG6,40,114.4573629200288
reimprove-fronts,hv,2,WFG6,50,114.4949260784614
reimprove-fronts,hv,2,WFG7,30,114.71590086549509
reimprove-fronts,hv,2,WFG7,40,114.715454677929
